"id","name","slug","created_at","updated_at"
"1","COLDLINE","coldline","""2025-09-01T22:00:05.252Z""","""2025-09-01T22:00:05.252Z"""
"2","COOKLINE","cookline","""2025-09-01T22:00:34.349Z""","""2025-09-01T22:00:34.349Z"""
"3","HILO","hilo","""2025-09-01T22:00:48.979Z""","""2025-09-01T22:00:48.979Z"""
"4","MAGISTER","magister","""2025-09-01T22:00:50.670Z""","""2025-09-01T22:00:50.670Z"""
"5","MARCHIA","marchia","""2025-09-01T22:00:51.105Z""","""2025-09-01T22:00:51.105Z"""
"6","PREPLINE","prepline","""2025-09-01T22:01:03.945Z""","""2025-09-01T22:01:03.945Z"""
"7","SOUTHWOOD","southwood","""2025-09-01T22:01:18.524Z""","""2025-09-01T22:01:18.524Z"""
"8","STANDARD RANGE","standard-range","""2025-09-01T22:01:32.648Z""","""2025-09-01T22:01:32.648Z"""
"9","UNITY","unity","""2025-09-01T22:01:33.217Z""","""2025-09-01T22:01:33.217Z"""
